Total nodes: 10318

First 200 node entries (instance, nodeLabel, x,y,z):
82: DILIANG-1, 82, (-200.000000, -300.004883, 2000.000000)
83: DILIANG-1, 83, (-200.000000, -250.004883, 2000.000000)
84: DILIANG-1, 84, (-200.000000, -200.004883, 2000.000000)
85: DILIANG-1, 85, (-200.000000, -150.004883, 2000.000000)
86: DILIANG-1, 86, (-200.000000, -100.004875, 2000.000000)
87: DILIANG-1, 87, (-200.000000, -50.004879, 2000.000000)
88: DILIANG-1, 88, (-200.000000, -0.004878, 2000.000000)
89: DILIANG-1, 89, (-250.000000, -500.004883, 2000.000000)
90: DILIANG-1, 90, (-250.000000, -450.004883, 2000.000000)
91: DILIANG-1, 91, (-250.000000, -400.004883, 2000.000000)
92: DILIANG-1, 92, (-250.000000, -350.004883, 2000.000000)
93: DILIANG-1, 93, (-250.000000, -300.004883, 2000.000000)
94: DILIANG-1, 94, (-250.000000, -250.004883, 2000.000000)
95: DILIANG-1, 95, (-250.000000, -200.004883, 2000.000000)
96: DILIANG-1, 96, (-250.000000, -150.004883, 2000.000000)
97: DILIANG-1, 97, (-250.000000, -100.004875, 2000.000000)
98: DILIANG-1, 98, (-250.000000, -50.004879, 2000.000000)
99: DILIANG-1, 99, (-250.000000, -0.004878, 2000.000000)
100: DILIANG-1, 100, (-300.000000, -500.004883, 2000.000000)
101: DILIANG-1, 101, (-300.000000, -450.004883, 2000.000000)
102: DILIANG-1, 102, (-300.000000, -400.004883, 2000.000000)
103: DILIANG-1, 103, (-300.000000, -350.004883, 2000.000000)
104: DILIANG-1, 104, (-300.000000, -300.004883, 2000.000000)
105: DILIANG-1, 105, (-300.000000, -250.004883, 2000.000000)
106: DILIANG-1, 106, (-300.000000, -200.004883, 2000.000000)
107: DILIANG-1, 107, (-300.000000, -150.004883, 2000.000000)
108: DILIANG-1, 108, (-300.000000, -100.004875, 2000.000000)
109: DILIANG-1, 109, (-300.000000, -50.004879, 2000.000000)
110: DILIANG-1, 110, (-300.000000, -0.004878, 2000.000000)
111: DILIANG-1, 111, (-350.000000, -500.004883, 2000.000000)
112: DILIANG-1, 112, (-350.000000, -450.004883, 2000.000000)
